American Samoa,1998,x,x,x,x,x,x,x,x,x,x,x,x,128,x
American Samoa,1999,x,x,x,x,x,x,x,x,x,x,x,x,142,x
American Samoa,2000,x,x,x,x,x,x,21.4,x,25.7,x,x,95.8,142,x
American Samoa,2001,x,x,x,x,x,x,x,x,x,x,x,x,125,x
American Samoa,2002,x,x,x,x,x,x,x,x,x,x,x,x,125,x
American Samoa,2003,x,x,x,x,x,x,x,x,x,x,x,x,111,x
American Samoa,2004,x,x,x,x,x,x,x,x,x,x,x,x,130,x
American Samoa,2005,x,x,x,x,x,x,x,x,x,x,x,x,101,x
Andorra,1997,x,x,x,x,x,x,x,x,x,x,x,95.1,x,x
Andorra,1998,x,x,x,x,x,x,x,x,x,x,x,91.3,x,x
Andorra,1999,x,x,x,x,x,x,x,x,x,x,x,91.9,x,x
Andorra,2000,x,x,x,x,x,x,x,x,x,x,x,92.4,x,x
Andorra,2001,16,16,x,x,x,x,x,x,x,x,x,92.4,x,x
Andorra,2002,16,16,x,x,x,x,x,x,x,x,x,93,12,x
Andorra,2003,16,16,x,x,x,x,x,x,x,x,x,92.6,13,x
Andorra,2004,16,16,x,x,x,x,x,x,x,x,x,x,9,x
Angola,1970,x,x,x,x,x,x,35.7,7.6,19.4,24.5,x,x,x,x
Angola,1985,x,x,x,x,x,x,x,x,x,x,46,103.2,x,x
Angola,1986,x,x,x,x,x,x,x,x,x,x,46,x,x,x
Angola,1987,x,x,x,x,x,x,x,x,x,x,46,x,x,x
Angola,1988,x,x,x,x,x,x,x,x,x,x,46.3,x,x,x
Angola,1989,x,x,x,x,x,x,x,x,x,x,46.3,x,x,x
Angola,1990,x,x,x,x,x,x,x,x,x,x,46.4,103,x,x
Angola,1991,x,x,x,x,x,x,x,x,x,x,46.3,x,x,x
Angola,1992,x,x,x,x,x,x,x,x,x,x,46.6,x,x,x
Angola,1993,x,x,x,x,x,x,x,x,x,x,46.1,x,x,x
Angola,1994,x,x,x,x,x,x,x,x,x,x,46.5,x,x,x
Angola,1995,x,x,x,x,x,x,x,x,x,x,46,103,x,x
Angola,1996,x,x,x,x,4.1,8.1,x,x,x,x,46,x,x,x
Angola,1997,x,x,x,x,x,x,x,x,x,x,45.9,x,x,x
Angola,1998,x,x,x,x,x,x,x,x,x,x,46,x,x,x
Angola,1999,x,x,x,x,x,x,x,x,x,x,46,x,x,x
Angola,2000,x,x,x,x,x,x,x,x,x,x,46,103,x,x
Angola,2001,x,x,54.2,82.9,4.5,6.2,x,x,x,x,45.9,x,x,x
Angola,2002,x,x,x,x,x,x,x,x,x,x,46,x,x,x
Angola,2003,x,x,x,x,x,x,x,x,x,x,46,x,x,x
Angola,2004,18,18,x,x,x,x,x,x,x,x,45.9,x,x,x
Angola,2005,x,x,x,x,x,x,x,x,x,x,45.8,102.9,x,x
Angola,2006,x,x,x,x,x,x,x,x,x,x,45.8,x,x,x
Anguilla,1988,x,x,x,x,x,x,x,x,x,x,x,x,34,x
Anguilla,1989,x,x,x,x,x,x,x,x,x,x,x,x,33,x
Anguilla,1990,x,x,x,x,x,x,x,x,x,x,x,x,22,x
Anguilla,1991,x,x,x,x,x,x,x,x,x,x,x,x,30,x
Anguilla,1992,x,x,x,x,x,x,1.6,0,29.8,32.1,x,100.3,19,x
Anguilla,1993,x,x,x,x,x,x,x,x,x,x,x,x,25,x
Anguilla,1994,x,x,x,x,x,x,x,x,x,x,x,x,23,x
Anguilla,1995,x,x,x,x,x,x,x,x,x,x,x,x,18,x
Anguilla,1996,x,x,x,x,x,x,x,x,x,x,x,x,23,x
Anguilla,1997,x,x,x,x,x,x,x,x,x,x,x,x,24,x
Anguilla,1998,x,x,x,x,x,x,x,x,x,x,x,x,27,x
Anguilla,1999,x,x,x,x,x,x,x,x,x,x,x,x,29,x
Anguilla,2000,x,x,x,x,x,x,x,x,x,x,x,x,37,x
Anguilla,2001,x,x,x,x,x,x,1.5,0,28.6,31.6,x,102.8,30,x
Anguilla,2002,x,x,x,x,x,x,x,x,x,x,x,x,23,x
Anguilla,2003,x,x,x,x,40.8,43,x,x,x,x,x,x,25,x
Anguilla,2004,x,x,x,x,x,x,x,x,x,x,x,x,26,x
Anguilla,2005,x,x,x,x,x,x,x,x,x,x,x,x,24,x
Antigua and Barbuda,1960,x,x,x,x,x,x,1.4,0.2,27.3,32.3,x,x,x,x
Antigua and Barbuda,1981,x,x,x,x,44.6,48.2,x,x,x,x,x,x,x,x
Antigua and Barbuda,1985,18,18,x,x,x,x,x,x,x,x,x,x,289,x
Antigua and Barbuda,1986,18,18,x,x,x,x,x,x,x,x,x,x,245,x
Antigua and Barbuda,1988,x,x,x,x,50.6,52.6,x,x,x,x,x,x,x,x
Antigua and Barbuda,1991,18,18,x,x,x,x,0.1,0.1,33.2,33.2,x,107.4,196,x
Antigua and Barbuda,1992,18,18,x,x,x,x,x,x,x,x,x,107.4,194,x
Antigua and Barbuda,1993,18,18,x,x,x,x,x,x,x,x,x,107.4,178,x
Antigua and Barbuda,1994,18,18,x,x,x,x,x,x,x,x,x,107.4,184,x
Antigua and Barbuda,1995,18,18,x,x,x,x,x,x,x,x,x,107.4,213,x
Antigua and Barbuda,1996,x,x,x,x,x,x,x,x,x,x,x,107.4,x,x
Antigua and Barbuda,1997,18,18,x,x,x,x,x,x,x,x,x,x,x,x
Antigua and Barbuda,2000,x,x,x,x,x,x,x,x,x,x,x,107.4,x,x
Antigua and Barbuda,2001,x,x,x,x,x,x,3.9,1,25.7,29.3,x,112.9,x,x
Antigua and Barbuda,2002,x,x,x,x,x,x,x,x,x,x,x,112.9,x,x
Antigua and Barbuda,2003,x,x,x,x,x,x,x,x,x,x,x,112.9,x,x
Antigua and Barbuda,2004,x,x,x,x,x,x,x,x,x,x,x,112.9,x,x
Argentina,1970,x,x,x,x,x,x,10.8,1.9,23.1,26.4,x,x,x,x
Argentina,1980,x,x,x,x,x,x,,,17.9,19.8,x,x,x,x
Argentina,1985,16,18,x,x,x,x,x,x,x,x,30.8,103.2,87332,x
Argentina,1986,16,18,x,x,x,x,x,x,x,x,31.6,103.3,91501,x
Argentina,1987,16,18,x,x,x,x,x,x,x,x,32.3,103.4,90605,x
Argentina,1988,16,18,x,x,x,x,x,x,x,x,33,103.5,93788,x
Argentina,1989,16,18,x,x,x,x,x,x,x,x,33.7,103.6,92499,x
Argentina,1990,16,18,x,x,x,x,x,x,x,x,34.4,103.7,96404,x
Argentina,1991,16,18,96,96.2,x,x,12.4,2.7,23.3,25.8,35.2,103.7,101772,x
Argentina,1992,16,18,x,x,x,x,x,x,x,x,35.5,103.7,100278,x
Argentina,1993,16,18,x,x,x,x,x,x,x,x,36.1,103.8,100162,x
Argentina,1994,16,18,x,x,x,x,x,x,x,x,36.6,103.8,103137,x
Argentina,1995,16,18,x,x,x,x,x,x,x,x,37.5,103.9,103688,x
Argentina,1996,16,18,x,x,x,x,x,x,x,x,37.9,103.9,105709,x
Argentina,1997,16,18,x,x,x,x,x,x,x,x,38.2,103.9,111898,x
Argentina,1998,16,18,x,x,x,x,x,x,x,x,38.7,104,107857,x
Argentina,1999,16,18,x,x,x,x,x,x,x,x,39.4,104.1,105546,x
Argentina,2000,16,18,x,x,x,x,x,x,x,x,40,104.3,106337,x
Argentina,2001,16,18,97.2,97.2,63.8,65.3,10.6,3.9,24.6,26.9,40.8,104.1,100082,x
Argentina,2002,16,18,x,x,x,x,x,x,x,x,41.7,104.2,101753,x
Argentina,2003,16,18,x,x,x,x,x,x,x,x,42.1,104.2,95224,x
Argentina,2004,16,18,x,x,x,x,x,x,x,x,42.4,104.2,106438,x
Argentina,2005,16,18,x,x,69.9,78.9,x,x,x,x,42.9,104.5,107109,x
Argentina,2006,x,x,x,x,x,x,x,x,x,x,43.3,x,x,x
Argentina,2010,x,x,x,x,x,x,12.9,6,24.6,26.6,x,x,x,x
Armenia,1979,x,x,x,x,x,x,13.6,1.9,21.5,24,x,x,x,x
Armenia,1985,17,17,x,x,x,x,x,x,x,x,47.1,104.5,7984,x
Armenia,1986,17,17,x,x,x,x,x,x,x,x,47.1,x,7786,x
Armenia,1987,17,17,x,x,x,x,x,x,x,x,47.2,x,7560,x
Armenia,1988,17,17,x,x,x,x,x,x,x,x,47.3,103.8,8159,x
Armenia,1989,17,17,98.2,99.4,x,x,16.8,2.4,21.2,24.2,47.5,104.9,8530,x
Armenia,1990,17,17,x,x,x,x,x,x,x,x,47.7,106.2,10018,x
Armenia,1991,17,17,x,x,25.2,56,x,x,x,x,47.5,x,11283,x
Armenia,1992,17,17,x,x,x,x,x,x,x,x,47.3,x,12447,x
Armenia,1993,17,17,x,x,x,x,x,x,x,x,47.1,x,11832,x
Armenia,1994,17,17,x,x,x,x,x,x,x,x,46.9,x,10637,x
Armenia,1995,17,17,x,x,x,x,x,x,x,x,46.8,110.7,8964,x
Armenia,1996,17,17,x,x,x,x,x,x,x,x,46.7,x,8694,x
Armenia,1997,17,17,x,x,x,x,x,x,x,x,46.5,x,7257,x
Armenia,1998,17,17,x,x,x,x,x,x,x,x,47,x,5917,x
Armenia,1999,17,17,x,x,x,x,x,x,x,x,47.3,x,5243,x
Armenia,2000,17,17,x,x,20.4,60.5,x,x,x,x,47.8,112.6,4937,x
Armenia,2001,x,x,99.2,99.7,x,x,7.9,0.8,23.4,27.4,48.2,108.3,x,x
Armenia,2002,17,17,x,x,x,x,x,x,x,x,48.7,108.1,4401,x
Armenia,2003,17,17,x,x,x,x,x,x,x,x,49.1,107.8,4652,x
Armenia,2004,17,17,x,x,x,x,x,x,x,x,49,107.5,4717,x
Armenia,2005,x,x,x,x,19.1,53.1,7.1,0,23.3,26.9,49.1,114.5,x,x
Armenia,2006,x,x,x,x,x,x,x,x,x,x,49.2,x,x,x
Armenia,2010,x,x,x,x,26.5,54.9,8.4,1,24.4,27.8,x,x,x,x
Aruba,1981,x,x,x,x,x,x,4.1,0.5,25.5,27.4,x,x,x,x
Aruba,1985,x,x,x,x,x,x,x,x,x,x,x,104.9,x,x
Aruba,1986,x,x,x,x,x,x,x,x,x,x,x,106.7,x,x
Aruba,1987,x,x,x,x,x,x,x,x,x,x,x,106.6,x,x
Aruba,1988,x,x,x,x,x,x,x,x,x,x,x,106.7,x,x
Aruba,1990,x,x,x,x,x,x,x,x,x,x,x,104,x,x
Aruba,1991,x,x,x,x,x,x,3.2,0.4,26.2,28.8,x,103.2,x,x
Aruba,1992,x,x,x,x,x,x,x,x,x,x,x,103.2,120,x
Aruba,1993,x,x,x,x,x,x,x,x,x,x,x,102.8,123,x
Aruba,1994,x,x,x,x,x,x,x,x,x,x,x,102.7,115,x
Aruba,1995,x,x,x,x,x,x,x,x,x,x,x,102.1,128,x
Aruba,1996,x,x,x,x,x,x,x,x,x,x,x,104,128,x
Aruba,1997,x,x,x,x,x,x,x,x,x,x,x,104.6,135,x
Aruba,1998,x,x,x,x,x,x,x,x,x,x,x,105.6,107,x
Aruba,1999,x,x,x,x,x,x,x,x,x,x,x,106.8,128,x
Aruba,2000,x,x,97.1,97.5,x,x,2.1,0.6,26.8,29.9,x,107.7,164,x
Aruba,2001,x,x,x,x,x,x,x,x,x,x,x,108.6,134,x
Aruba,2002,x,x,x,x,x,x,x,x,x,x,x,109,118,x
Aruba,2003,x,x,x,x,x,x,x,x,x,x,x,109.1,121,x
Aruba,2004,x,x,x,x,x,x,x,x,x,x,x,109.3,135,x
Aruba,2005,x,x,x,x,x,x,x,x,x,x,x,108.6,145,x
Aruba,2010,x,x,x,x,x,x,0.8,0.2,28.5,31.2,x,x,x,x
Australia,1971,x,x,x,x,x,x,8.8,1.4,21.5,24.4,x,x,x,x
Australia,1985,18,18,x,x,x,x,x,x,x,x,38.3,100.5,14556,x
Australia,1986,18,18,x,x,72.2,76.1,2.4,0.6,24.8,27.1,39.2,100.2,14326,x
Australia,1987,18,18,x,x,x,x,x,x,x,x,39.7,100.3,13984,x
Australia,1988,18,18,x,x,x,x,x,x,x,x,40.3,100.4,13961,x
Australia,1989,18,18,x,x,x,x,x,x,x,x,40.8,100.5,14259,x
Australia,1990,18,18,x,x,x,x,x,x,x,x,41.3,100.3,15107,x
Australia,1991,18,18,x,x,x,x,x,x,x,x,41.5,100.6,14717,x
Australia,1992,18,18,x,x,x,x,x,x,x,x,41.6,100.7,14154,x
Australia,1993,18,18,x,x,x,x,x,x,x,x,41.7,100.8,13175,x
Australia,1994,18,18,x,x,x,x,x,x,x,x,42.1,100.9,12853,x
Australia,1995,18,18,x,x,63.9,66.7,x,x,x,x,42.7,100.9,12631,x
Australia,1996,18,18,x,x,x,x,1.4,0.6,27.7,29.9,42.8,101,12509,x
Australia,1997,18,18,x,x,x,x,x,x,x,x,42.9,101.2,12309,x
Australia,1998,18,18,x,x,x,x,x,x,x,x,43.3,101.3,11849,x
Australia,1999,18,18,x,x,x,x,x,x,x,x,43.3,101.4,11751,x
Australia,2000,18,18,x,x,x,x,x,x,x,x,44,101.5,11474,x
Australia,2001,18,18,x,x,x,x,1,0.4,28.9,31,44.2,101.6,11704,x
Australia,2002,18,18,x,x,70.8,70.8,x,x,x,x,44.3,101.4,11505,x
Australia,2003,18,18,x,x,x,x,x,x,x,x,44.5,101.4,10811,x
Australia,2004,18,18,x,x,x,x,x,x,x,x,44.8,101.3,10857,x
Australia,2005,18,18,x,x,68.1,72.3,x,x,x,x,45,101.1,10744,x
Australia,2006,18,18,x,x,x,x,0.8,0.4,29.7,31.6,45.2,x,x,x
Austria,1971,x,x,x,x,x,x,7,0.6,21.9,26,x,x,x,x
Austria,1981,x,x,x,x,x,x,4.2,0.5,23.5,26.9,x,x,x,x
Austria,1985,16,16,x,x,x,x,x,x,x,x,39.4,110.6,7507,x
Austria,1986,16,16,x,x,x,x,x,x,x,x,39.5,110.4,7055,x
Austria,1987,16,16,x,x,x,x,x,x,x,x,39.9,110.1,6392,x
Austria,1988,16,16,x,x,x,x,x,x,x,x,40.3,109.8,6116,x
Austria,1989,16,16,x,x,x,x,x,x,x,x,40.4,109.4,5653,x
Austria,1990,16,16,x,x,x,x,x,x,x,x,40.8,108.3,5379,x
Austria,1991,16,16,x,x,x,x,2.7,0.6,26.1,28.9,40.9,108.4,5596,x
Austria,1992,16,16,x,x,x,x,x,x,x,x,41.4,108,5488,x
Austria,1993,16,16,x,x,x,x,x,x,x,x,41.6,107.7,5191,x
Austria,1994,16,16,x,x,x,x,x,x,x,x,42.8,107.4,4292,x
Austria,1995,16,16,x,x,x,x,x,x,x,x,42.7,106.2,3894,x
Austria,1996,16,16,x,x,46.8,50.9,x,x,x,x,42.7,107.2,3507,x
Austria,1997,16,16,x,x,x,x,x,x,x,x,42.9,107.2,3367,x
Austria,1998,16,16,x,x,x,x,x,x,x,x,42.9,107.1,3275,x
Austria,1999,16,16,x,x,x,x,x,x,x,x,43,106.9,3105,x
Austria,2000,x,x,x,x,x,x,x,x,x,x,43.1,105.1,x,x
Austria,2001,16,16,x,x,x,x,2.9,0.7,26.6,29.5,43.4,106.5,3254,x
Austria,2002,16,16,x,x,x,x,x,x,x,x,43.9,106.3,3256,x
Austria,2003,16,16,x,x,x,x,x,x,x,x,44,106.1,3106,x
Austria,2004,16,16,x,x,x,x,x,x,x,x,44.3,106,3251,x
Austria,2005,16,16,x,x,x,x,x,x,x,x,44.6,104.2,3062,x
Austria,2006,x,x,x,x,x,x,x,x,x,x,44.9,x,x,x
Austria,2011,x,x,x,x,x,x,0,0,31,33.6,x,x,x,x
Azerbaijan,1979,x,x,x,x,x,x,6.9,1.1,22.4,25.1,x,x,x,x
Azerbaijan,1985,17,18,x,x,x,x,x,x,x,x,47.1,105.4,6803,x
Azerbaijan,1986,17,18,x,x,x,x,x,x,x,x,47.1,x,7032,x
Azerbaijan,1987,17,18,x,x,x,x,x,x,x,x,47.2,x,6899,x
Azerbaijan,1988,17,18,x,x,x,x,x,x,x,x,47.4,x,8722,x
Azerbaijan,1989,17,18,x,x,x,x,7.6,1.2,23.8,25.8,47.4,105.1,9172,x
Azerbaijan,1990,17,18,x,x,x,x,x,x,x,x,47.4,104.4,8675,x
Azerbaijan,1991,17,18,x,x,x,x,x,x,x,x,46.7,x,9913,x
Azerbaijan,1992,17,18,x,x,x,x,x,x,x,x,46.4,x,11386,x
Azerbaijan,1993,17,18,x,x,x,x,x,x,x,x,46,x,12535,x
Azerbaijan,1994,17,18,x,x,x,x,x,x,x,x,45.6,103.7,13448,x
Azerbaijan,1995,17,18,x,x,x,x,x,x,x,x,45.4,104.2,13368,x
Azerbaijan,1996,17,18,x,x,x,x,x,x,x,x,45.6,103,12329,x
Azerbaijan,1997,17,18,x,x,x,x,x,x,x,x,45.8,102.8,14483,x
Azerbaijan,1998,17,18,x,x,x,x,x,x,x,x,46.1,103.8,13241,x
Azerbaijan,1999,17,18,98.2,99.5,x,x,12.8,2.5,23.9,27,46.3,104.7,12141,x
Azerbaijan,2000,17,18,x,x,15.8,55.1,x,x,x,x,46.7,104.9,11407,x
Azerbaijan,2001,17,18,x,x,11.9,55.4,x,x,x,x,47,104.2,10741,x
Azerbaijan,2002,17,18,x,x,x,x,x,x,x,x,47.2,104,11076,x
Azerbaijan,2003,17,18,x,x,x,x,x,x,x,x,47.5,103.8,11993,x
Azerbaijan,2004,17,18,x,x,x,x,x,x,x,x,47.5,103.5,13739,x
Azerbaijan,2005,x,x,x,x,x,x,x,x,x,x,47.7,105.7,x,x
Azerbaijan,2006,x,x,x,x,13.2,51.1,10.9,0.2,23.1,26.7,47.9,x,x,x
Azerbaijan,2007,17,18,x,x,x,x,x,x,x,x,x,x,x,x
Azerbaijan,2009,x,x,x,x,x,x,8.3,0.3,24.4,28.2,x,x,x,x
Bahamas,1970,x,x,x,x,x,x,10.1,1.3,22.4,26,x,x,x,x
Bahamas,1980,x,x,x,x,x,x,4.6,0.5,24.8,27.3,x,x,x,x
Bahamas,1985,x,x,x,x,x,x,x,x,x,x,44.2,101.6,x,x
Bahamas,1986,x,x,x,x,x,x,x,x,x,x,44.9,x,x,x
Bahamas,1987,x,x,x,x,x,x,x,x,x,x,44.5,x,x,x
Bahamas,1988,x,x,x,x,60.1,61.7,x,x,x,x,45.1,x,x,x
Bahamas,1989,x,x,x,x,x,x,x,x,x,x,44.4,x,x,x
Bahamas,1990,x,x,x,x,x,x,3.7,0.9,27.2,29.1,45,101.7,x,x
Bahamas,1991,x,x,x,x,x,x,x,x,x,x,45.5,104.5,x,x
Bahamas,1992,x,x,x,x,x,x,x,x,x,x,46,104.9,x,x
Bahamas,1993,x,x,x,x,x,x,x,x,x,x,45.7,103.2,x,x
Bahamas,1994,x,x,x,x,x,x,x,x,x,x,46.2,102.8,x,x
Bahamas,1995,x,x,x,x,x,x,x,x,x,x,47,102.8,x,x
Bahamas,1996,x,x,x,x,x,x,x,x,x,x,47.4,102.1,x,x
Bahamas,1997,x,x,x,x,x,x,x,x,x,x,48.2,101.8,x,x
Bahamas,1998,x,x,x,x,x,x,x,x,x,x,48.2,x,x,x
Bahamas,1999,x,x,x,x,x,x,x,x,x,x,49,x,x,x
Bahamas,2000,x,x,x,x,x,x,3.1,0.5,27.4,29.9,48.6,103.7,x,x
Bahamas,2001,x,x,x,x,x,x,x,x,x,x,48.3,105.7,x,x
Bahamas,2002,x,x,x,x,x,x,x,x,x,x,49,x,x,x
Bahamas,2003,18,18,x,x,x,x,x,x,x,x,48.7,x,x,x
Bahamas,2004,x,x,x,x,x,x,x,x,x,x,49.4,x,x,x
Bahamas,2005,x,x,x,x,x,x,x,x,x,x,49.4,104.3,x,x
