Afghanistan,1973,Men,7.7,26
Afghanistan,1973,Women,50.5,18.1
Afghanistan,1979,Men,9.2,25.3
Afghanistan,1979,Women,53.7,15.4
Afghanistan,2008,Men,14,25.3
Afghanistan,2008,Women,40,15
Afghanistan,2010,Women,17.3,21.5
Albania,1989,Men,1,27
Albania,1989,Women,8.3,22.9
Albania,2001,Men,0.9,27.3
Albania,2001,Women,9.6,23.3
Albania,2002,Men,0,26.9
Albania,2002,Women,9.5,23.1
Albania,2008,Men,0.9,28.8
Albania,2008,Women,7.7,24.6
Albania,2011,Men,2,29.2
Albania,2011,Women,7.2,25.1
Algeria,1966,Men,4.7,23.9
Algeria,1966,Women,46.5,18.4
Algeria,1977,Men,2.5,25.3
Algeria,1977,Women,23.6,21
Algeria,1987,Men,0.8,27.7
Algeria,1987,Women,9.6,23.7
Algeria,1992,Women,3.5,25.9
Algeria,2002,Men,0.2,33
Algeria,2002,Women,1.8,29.5
American Samoa,1974,Men,2.2,26.2
American Samoa,1974,Women,9,23.3
American Samoa,1980,Men,1.6,26.9
American Samoa,1980,Women,5.9,24.1
American Samoa,1990,Men,1.6,28.3
American Samoa,1990,Women,4.7,25.7
American Samoa,2000,Women,21.4,25.7
Angola,1970,Men,7.6,24.5
Angola,1970,Women,35.7,19.4
Anguilla,1992,Men,0,32.1
Anguilla,1992,Women,1.6,29.8
Anguilla,2001,Men,0,31.6
Anguilla,2001,Women,1.5,28.6
Antigua and Barbuda,1960,Men,0.2,32.3
Antigua and Barbuda,1960,Women,1.4,27.3
Antigua and Barbuda,1991,Men,0.1,33.2
Antigua and Barbuda,1991,Women,0.1,33.2
Antigua and Barbuda,2001,Men,1,29.3
Antigua and Barbuda,2001,Women,3.9,25.7
Argentina,1970,Men,1.9,26.4
Argentina,1970,Women,10.8,23.1
Argentina,1980,Men,,19.8
Argentina,1980,Women,,17.9
Argentina,1991,Men,2.7,25.8
Argentina,1991,Women,12.4,23.3
Argentina,2001,Men,3.9,26.9
Argentina,2001,Women,10.6,24.6
Argentina,2010,Men,6,26.6
Argentina,2010,Women,12.9,24.6
Armenia,1979,Men,1.9,24
Armenia,1979,Women,13.6,21.5
Armenia,1989,Men,2.4,24.2
Armenia,1989,Women,16.8,21.2
Armenia,2001,Men,0.8,27.4
Armenia,2001,Women,7.9,23.4
Armenia,2005,Men,0,26.9
Armenia,2005,Women,7.1,23.3
Armenia,2010,Men,1,27.8
Armenia,2010,Women,8.4,24.4
Aruba,1981,Men,0.5,27.4
Aruba,1981,Women,4.1,25.5
Aruba,1991,Men,0.4,28.8
Aruba,1991,Women,3.2,26.2
Aruba,2000,Men,0.6,29.9
Aruba,2000,Women,2.1,26.8
Aruba,2010,Men,0.2,31.2
Aruba,2010,Women,0.8,28.5
Australia,1971,Men,1.4,24.4
Australia,1971,Women,8.8,21.5
Australia,1986,Men,0.6,27.1
Australia,1986,Women,2.4,24.8
Australia,1996,Men,0.6,29.9
Australia,1996,Women,1.4,27.7
Australia,2001,Men,0.4,31
